               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092168,            0.063908,            0.042964,             0.09421,             0.34773,            0.091822,            0.021416,             0.06363,             0.04261,            0.037564,            0.070698,           0.0032558,           0.0032558
                   1,            0.066907,            0.057125,            0.034729,             0.30977,             0.33709,             0.24706,            0.087374,            0.065157,             0.02805,            0.028136,             0.04048,           0.0063717,           0.0063717
                   2,            0.064165,            0.047711,            0.028038,             0.29169,             0.52334,             0.33046,             0.12015,            0.064895,            0.022624,            0.022068,            0.010043,           0.0092676,           0.0092676
                   3,            0.058746,            0.042874,             0.02231,             0.42201,             0.61502,              0.4728,             0.18824,            0.058576,            0.023558,            0.014318,             0.00901,             0.00901,             0.00901
                   4,            0.053241,            0.041027,            0.016616,             0.73383,             0.78071,             0.80734,             0.35204,            0.045078,            0.020817,             0.01008,             0.00901,             0.00901,             0.00901
                   5,             0.04821,            0.039506,            0.012712,             0.70822,             0.74548,             0.78453,             0.37192,            0.044513,            0.020622,           0.0076521,             0.00868,             0.00868,             0.00868
                   6,            0.044509,            0.036619,             0.01043,             0.61054,             0.83603,             0.77217,             0.41111,            0.042462,             0.01946,           0.0063209,             0.00835,             0.00835,             0.00835
                   7,            0.042385,             0.03697,           0.0093125,             0.76773,             0.83092,             0.86902,             0.44131,            0.042028,            0.019631,            0.006158,             0.00802,             0.00802,             0.00802
                   8,            0.039758,            0.036448,           0.0082049,             0.94191,             0.91307,             0.96047,             0.57002,            0.032968,            0.018503,            0.005342,             0.00769,             0.00769,             0.00769
                   9,            0.037859,            0.037901,           0.0074507,             0.94448,             0.90528,             0.95488,             0.55854,             0.03498,            0.018613,           0.0043958,             0.00736,             0.00736,             0.00736
                  10,            0.036109,            0.035009,            0.006638,             0.95579,             0.91511,             0.96864,              0.5835,            0.031895,            0.018226,           0.0038761,             0.00703,             0.00703,             0.00703
                  11,            0.035331,            0.034532,           0.0066141,             0.96858,             0.94373,             0.97513,             0.64152,            0.027955,            0.017484,           0.0037907,              0.0067,              0.0067,              0.0067
                  12,            0.033376,            0.034507,           0.0060917,             0.94151,             0.92657,              0.9673,             0.61624,            0.028843,            0.017492,           0.0042903,             0.00637,             0.00637,             0.00637
                  13,            0.032596,            0.033619,           0.0064036,             0.95806,             0.92387,             0.97218,             0.64177,            0.026885,            0.017846,           0.0041819,             0.00604,             0.00604,             0.00604
                  14,             0.03161,            0.034538,           0.0058386,             0.97093,             0.91481,              0.9716,             0.63695,            0.028261,            0.017723,           0.0042849,             0.00571,             0.00571,             0.00571
                  15,            0.030516,              0.0339,           0.0056684,             0.95952,             0.94827,             0.97673,             0.67015,            0.026897,            0.016999,           0.0033309,             0.00538,             0.00538,             0.00538
                  16,             0.02974,            0.032376,            0.005404,             0.96799,             0.93712,             0.97924,             0.68571,            0.024747,            0.016623,           0.0031422,             0.00505,             0.00505,             0.00505
                  17,            0.029034,            0.031139,           0.0055949,              0.9556,             0.94588,             0.97813,             0.66469,            0.027277,            0.016723,           0.0028213,             0.00472,             0.00472,             0.00472
                  18,            0.029047,            0.030789,           0.0050095,             0.95487,             0.94612,             0.97916,             0.69915,            0.024613,            0.016596,           0.0032551,             0.00439,             0.00439,             0.00439
                  19,            0.027908,            0.032196,           0.0051731,             0.96876,             0.95526,             0.98404,             0.69577,            0.024261,            0.016281,           0.0026148,             0.00406,             0.00406,             0.00406
                  20,            0.027152,            0.031921,           0.0043468,             0.97121,             0.94717,             0.98275,             0.70475,            0.024798,            0.016439,            0.002927,             0.00373,             0.00373,             0.00373
                  21,            0.026565,            0.030623,           0.0045526,             0.97102,             0.94754,             0.97989,             0.72247,             0.02231,            0.016179,           0.0028181,              0.0034,              0.0034,              0.0034
                  22,            0.026241,            0.030598,           0.0040068,             0.96123,             0.96012,             0.98466,             0.72021,            0.022787,            0.015743,           0.0028193,             0.00307,             0.00307,             0.00307
                  23,            0.026035,            0.029747,            0.004321,             0.97435,             0.96603,             0.98482,             0.73091,            0.022433,            0.015827,           0.0024393,             0.00274,             0.00274,             0.00274
                  24,             0.02491,            0.030122,           0.0037879,             0.96553,              0.9632,             0.98564,              0.7361,            0.021691,            0.015674,           0.0025758,             0.00241,             0.00241,             0.00241
                  25,            0.024405,            0.030023,           0.0037606,             0.97823,             0.96379,             0.98592,             0.74699,            0.020677,            0.015356,           0.0022187,             0.00208,             0.00208,             0.00208
                  26,             0.02405,             0.02874,           0.0040271,              0.9685,             0.96365,             0.98573,             0.74629,            0.020902,            0.015355,           0.0022779,             0.00175,             0.00175,             0.00175
                  27,            0.023438,            0.030367,           0.0040178,             0.96672,             0.96456,             0.98607,             0.75284,            0.020748,            0.015514,           0.0020932,             0.00142,             0.00142,             0.00142
                  28,            0.023039,            0.029359,           0.0033291,              0.9747,             0.97379,             0.98781,             0.75876,            0.020233,            0.015079,            0.002034,             0.00109,             0.00109,             0.00109
                  29,            0.023074,             0.02867,           0.0032573,             0.96472,             0.97008,             0.98638,             0.76389,            0.019979,            0.014975,           0.0022372,             0.00076,             0.00076,             0.00076
